JURIS NAME	FACILITY NAME	SEGMENT FROM	SEGMENT TO	DIR	WEEKDAY TRAFFIC VOLUMES																		2012 SPEED AND CONGESTION DATA											
					2007			2008			2009			2010			2011			2012			AM PEAK HOUR						PM PEAK HOUR					
SUR	ROUTE 31	SUSSEX CL	ROUTE 630								"1,801"	2/3 - 2/4	V							"1,615"	1/24 - 1/26	V	-	-	-	-	LOW		-	-	-	-	LOW	
SUR	ROUTE 31	ROUTE 630	ROUTE 10 (SOUTH)								"1,503"	2/3 - 2/4	V							"1,562"	1/24 - 1/26	V	-	-	-	-	LOW		-	-	-	-	LOW	
SUR	ROUTE 31	ROUTE  10 (NORTH)	JAMESTOWN-SCOTLAND FERRY								"2,012"	2/3 - 2/4	V							"1,868"	1/18 - 1/19	V	-	-	-	-	LOW		-	-	-	-	LOW	
SUR	ROUTE 40	SUSSEX CL	ROUTE 615								889	2/3	V							"1,049"	1/24 - 1/26	V	48	49	1.14	1.11	LOW	LOW	49	49	1.12	1.10	LOW	LOW
SUR	ROUTE 40	ROUTE 615	ROUTE 10								798	2/3	V							884	1/24 - 1/26	V	50	50	1.16	1.12	LOW	LOW	50	49	1.16	1.14	LOW	LOW
VB	21ST ST	PARKS AVE	PACIFIC AVE		"11,561"	6/25	C	"9,333"	7/8	C				"11,346"	7/21 - 7/27	C	"11,603"	7/12 - 7/14	C	"10,861"	8/21 - 8/23	C	24	-	1.22	-	LOW	-	23	-	1.27	-	MOD	-
VB	21ST ST	PACIFIC AVE	ATLANTIC AVE		"3,439"	7/17 - 9/18	V				"5,047"	7/14 - 7/15	V							"3,917"	7/10 - 7/11	V	24	-	1.22	-	LOW	-	23	-	1.27	-	MOD	-
VB	22ND ST	PARKS AVE	PACIFIC AVE		"12,069"	6/21	C	"9,000"	7/9	C	"12,064"	7/8 - 7/23	C	"8,741"	7/21 - 7/22	C	"9,697"	7/12 - 7/14	C	"10,231"	8/21 - 8/23	C	-	25	-	1.02	-	LOW	-	24	-	1.03	-	LOW
VB	22ND ST	PACIFIC AVE	ATLANTIC AVE		"3,605"	6/14	C	"3,418"	7/10	C	"3,185"	7/15 - 9/2	C	"3,076"	7/19	C	"3,456"	7/13 - 7/19	C	"3,653"	8/21 - 8/23	C	-	25	-	1.02	-	LOW	-	24	-	1.03	-	LOW
VB	30TH ST	LASKIN RD	PACIFIC AVE											"3,500"		E							-	-	-	-	LOW		-	-	-	-	LOW	
VB	30TH ST	PACIFIC AVE	ATLANTIC AVE											"3,500"		E							-	-	-	-	LOW		-	-	-	-	LOW	
VB	ATLANTIC AVE	83RD ST	PACIFIC AVE		"21,946"	6/27	C				"22,766"	7/14 - 7/15	V	"22,067"	7/20 - 7/22	C	"20,991"	7/12 - 7/14	C	"20,531"	8/8 - 8/9	C	34	33	1.14	1.12	LOW	LOW	34	32	1.15	1.15	LOW	LOW
VB	ATLANTIC AVE	PACIFIC AVE	LASKIN RD		"5,608"	6/7	C	"5,767"	7/16	C	"5,618"	7/14 - 7/15	C	"5,266"	7/20 - 7/21	C	"4,971"	7/26 - 7/28	C	"4,798"	8/8 - 8/9	C	19	20	1.14	1.01	LOW	LOW	20	18	1.12	1.10	LOW	LOW
VB	ATLANTIC AVE	LASKIN RD	22ND ST		"9,506"	7/17	V	"9,176"	7/10	C	"9,296"	8/26 - 8/27	C				"8,942"	7/19 - 7/21	C	"8,619"	8/8 - 8/9	C	19	19	1.05	1.06	LOW	LOW	17	18	1.18	1.14	LOW	LOW
VB	ATLANTIC AVE	22ND ST	21ST ST		"9,506"	7/17	V	"9,176"	7/10	C	"9,296"	8/26 - 8/27	C				"8,942"	7/19 - 7/21	C	"8,619"	8/8 - 8/9	C	20	20	0.84	1.12	LOW	LOW	16	17	1.05	1.33	LOW	MOD
VB	ATLANTIC AVE	21ST ST	VA BEACH BLVD		"9,506"	6/7	C	"9,176"	7/10	C	"9,799"	7/15 - 8/27	V							"6,579"	9/11 - 9/12	V	21	21	0.91	0.95	LOW	LOW	18	17	1.06	1.22	LOW	LOW
VB	ATLANTIC AVE	VA BEACH BLVD	5TH ST		"8,589"	6/19	C	"7,799"	7/9	C	"8,567"	7/15 - 7/16	C	"7,091"	7/13 - 7/14	C	"7,765"	7/20 - 7/21	C	"7,352"	8/8 - 8/9	C	18	21	1.10	1.08	LOW	LOW	16	18	1.23	1.26	LOW	MOD
VB	BAXTER RD	PRINCESS ANNE RD	INDEPENDENCE BLVD					"24,729"	4/17	C	"23,685"	11/10	C	"22,227"	4/6 - 4/7	C	"22,505"	4/26 - 4/27	C	"22,083"	4/24 - 4/26	C	31	25	1.24	1.43	LOW	SEV	30	29	1.25	1.22	MOD	LOW
VB	BIRDNECK RD	GENERAL BOOTH BLVD	NORFOLK AVE		"17,253"	4/4	C				"12,884"	7/15 - 7/16	C	"12,411"	9/23 - 9/29	C	"15,325"	6/7 - 6/9	C	"14,726"	7/11 - 7/17	C	30	33	1.15	1.08	LOW	LOW	30	33	1.15	1.09	LOW	LOW
VB	BIRDNECK RD	NORFOLK AVE	VA BEACH BLVD																				30	33	1.15	1.08	LOW	LOW	30	33	1.15	1.09	LOW	LOW
VB	BIRDNECK RD	VA BEACH BLVD	I-264		"36,741"	11/28	C	"35,017"	7/18	C	"26,207"	6/3 - 6/4	C	"29,399"	7/22 - 7/27	C	"35,139"	7/13 - 7/19	C	"36,729"	7/25 - 7/26	C	32	31	1.11	1.09	LOW	LOW	31	31	1.14	1.09	LOW	LOW
VB	BIRDNECK RD	I-264	LASKIN RD		"26,574"	4/25	C	"24,977"	8/5	C	"23,080"	Wkdy average	C							"22,934"	9/11 - 9/12	V	26	31	1.30	1.09	MOD	LOW	27	31	1.27	1.08	MOD	LOW
VB	BLACKWATER RD	PUNGO FERRY RD	CHESAPEAKE CL		"3,471"	4/5	C	"2,483"	7/30	C	"2,468"	6/2 - 6/3	C	"2,669"	9/21 - 9/22	C	"2,665"	9/20 - 9/22	C	"2,401"	11/27 - 11/29	C	-	-	-	-	LOW		-	-	-	-	LOW	
VB	BONNEY RD	INDEPENDENCE BLVD	ROSEMONT RD					"18,552"	5/19	C	"14,259"	5/5 - 8/26	C	"16,615"	5/4 - 5/5	C	"16,135"	4/19 - 4/21	C	"16,297"	5/15	C	-	-	-	-	MOD		-	-	-	-	MOD	
VB	CENTERVILLE TNPK	CHESAPEAKE CL	LYNNHAVEN PKWY								"9,198"	8/5 - 8/6	V	"13,267"	11/9 - 11/10	C	"13,086"	11/19 - 12/1	C	"13,921"	11/14 - 11/15	C	-	-	-	-	LOW		-	-	-	-	LOW	
VB	CENTERVILLE TNPK	LYNNHAVEN PKWY	KEMPSVILLE RD					"14,873"	5/21	C										"19,993"	6/12 - 6/13	V	-	-	-	-	SEV		-	-	-	-	SEV	
VB	CENTERVILLE TNPK	KEMPSVILLE RD	JAKE SEARS RD		"18,379"	9/5	C	"21,436"	9/11	C	"20,450"	Wkdy average	C	"19,591"	Wkdy average	C	"19,382"	Wkdy average	C	"19,729"	Wkdy average	C	-	-	-	-	SEV		-	-	-	-	SEV	
VB	CENTERVILLE TNPK	JAKE SEARS RD	INDIAN RIVER RD		"18,379"	9/5	C	"21,436"	9/11	C	"20,450"	Wkdy average	C	"19,591"	Wkdy average	C	"19,382"	Wkdy average	C	"19,729"	Wkdy average	C	-	-	-	-	MOD		-	-	-	-	SEV	
VB	CHESAPEAKE BAY BRIDGE-TUNNEL	SHORE DR	TOLL PLAZA		"8,057"	Wkdy average	T	"7,578"	Wkdy average	T	"7,773"	Wkdy average	T	"7,963"	Wkdy average	T	"7,820"	Wkdy average	T	"7,746"	Wkdy average	T	54	57	1.04	1.04	LOW	LOW	54	57	1.04	1.02	LOW	LOW
VB	CHESAPEAKE BAY BRIDGE-TUNNEL	TOLL PLAZA	NCL VA BEACH		"8,057"	Wkdy average	T	"7,578"	Wkdy average	T	"7,773"	Wkdy average	T	"7,963"	Wkdy average	T	"7,820"	Wkdy average	T	"7,746"	Wkdy average	T	54	57	1.04	1.04	LOW	LOW	54	57	1.04	1.02	LOW	LOW
VB	COLUMBUS ST	INDEPENDENCE BLVD	CONSTITUTION DR								"13,684"	8/26 - 11/10	C	"13,668"	8/5 - 8/12	C	"12,002"	9/27 - 9/29	C	"11,506"	9/4 - 9/6	C	-	-	-	-	MOD		-	-	-	-	MOD	
VB	CONSTITUTION DR	BONNEY RD	COLUMBUS ST														"3,000"		E				-	-	-	-	LOW		-	-	-	-	LOW	
VB	CONSTITUTION DR	COLUMBUS ST	VIRGINIA BEACH BLVD		"6,793"	9/26	C	"5,387"	10/2	C				"6,391"	8/11 - 8/12	C	"8,158"	9/27 - 9/29	C	"7,030"	9/4 - 9/6	C	-	-	-	-	LOW		-	-	-	-	LOW	
VB	DAM NECK RD	SALEM RD	VA BEACH AMPHITHEATER		"7,960"	3/15	C	"9,428"	3/6	C							"12,134"	12/7 - 12/13	C	"13,030"	12/4 - 12/6	C	-	-	-	-	SEV		-	-	-	-	LOW	
VB	DAM NECK RD	VA BEACH AMPHITHEATER	PRINCESS ANNE RD		"10,500"	3/15	C	"10,782"	3/5	C	"12,823"	3/31 - 4/2	C	"15,025"	4/20 - 4/28	C	"15,341"	4/12 - 4/14	C	"15,841"	1/10 - 1/12	C	29	38	1.41	1.14	SEV	LOW	34	41	1.19	1.06	LOW	LOW
VB	DAM NECK RD	PRINCESS ANNE RD	ROSEMONT RD		"40,795"	7/10	C	"41,733"	3/19	C	"42,021"	7/14 - 7/15	C	"41,267"	3/2	C	"40,050"	2/2 - 2/8	C	"41,904"	2/21 - 2/23	C	32	33	1.29	1.17	MOD	LOW	34	30	1.22	1.31	LOW	MOD
VB	DAM NECK RD	ROSEMONT RD	HOLLAND RD		"40,795"	7/10	C	"41,733"	3/19	C	"42,021"	7/14 - 7/15	C	"41,267"	3/2	C	"40,050"	2/2 - 2/8	C	"41,904"	2/21 - 2/23	C	32	33	1.29	1.17	MOD	LOW	34	30	1.22	1.31	LOW	MOD
VB	DAM NECK RD	HOLLAND RD	DRAKESMILE RD					"43,441"	6/12	C	"41,606"	10/6 - 10/8	C	"39,520"	10/19	C	"46,965"	10/13	C	"44,562"	10/23	C	37	43	1.28	1.12	MOD	LOW	39	32	1.20	1.55	LOW	SEV
VB	DAM NECK RD	DRAKESMILE RD	LONDON BRIDGE RD		"46,071"	7/24	C	"43,623"	3/20	C	"44,541"	8/25 - 8/27	C	"49,378"	3/2 - 3/4	C	"42,492"	2/15 - 2/17	C	"46,223"	Wkdy average	C	37	43	1.28	1.12	MOD	LOW	39	32	1.20	1.55	LOW	SEV
VB	DAM NECK RD	LONDON BRIDGE RD	HARPERS RD					"31,772"	9/16	C	"31,936"	7/14 - 7/15	C	"27,912"	12/7 - 12/9	C	"29,575"	10/19 - 10/25	C	"31,847"	10/23	C	45	44	1.14	1.15	LOW	LOW	45	43	1.12	1.16	LOW	LOW
VB	DAM NECK RD	HARPERS RD	GENERAL BOOTH BLVD		"24,817"	9/6	C	"25,231"	9/18	C	"26,791"	7/14 - 7/15	C	"26,846"	12/21	C	"26,528"	11/30 - 12/1	C	"23,265"	Wkdy average	C	45	44	1.14	1.15	LOW	LOW	45	43	1.12	1.16	LOW	LOW
VB	DAM NECK RD	GENERAL BOOTH BLVD	UPTON DR		"34,374"	7/18	C	"35,171"	6/5	C				"36,219"	6/10 - 6/17	C	"34,380"	5/25 - 6/1	C	"32,796"	6/26 - 6/28	C	-	-	-	-	LOW		-	-	-	-	LOW	
VB	DAM NECK RD	UPTON DR	USN TRAINING CENTER		"21,199"	4/4	C	"22,085"	6/5	C	"20,559"	2/17 - 2/19	C	"22,066"	6/2 - 6/3	C	"21,993"	6/1 - 6/2	C				-	-	-	-	LOW		-	-	-	-	LOW	
VB	DIAMOND SPRINGS RD	NEWTOWN RD	WESLEYAN RD		"21,069"	11/28	C	"22,524"	7/17	C				"21,835"	10/13 - 10/19	C	"19,059"	10/25 - 10/27	C	"23,192"	10/23 - 10/25	C	35	37	1.17	1.12	LOW	LOW	34	37	1.21	1.13	LOW	LOW
VB	DIAMOND SPRINGS RD	WESLEYAN RD	NORTHAMPTON BLVD		"20,430"	10/3	C	"22,343"	6/11	C				"18,679"	8/24 - 8/26	C	"19,626"	10/11 - 10/13	C	"22,272"	10/23 - 10/25	C	36	36	1.18	1.23	LOW	LOW	37	36	1.16	1.21	LOW	LOW
VB	DIAMOND SPRINGS RD	NORTHAMPTON BLVD	SHORE DR		"28,383"	9/26	C	"29,840"	6/11	C	"27,605"	10/20-10/22	C	"28,603"	10/19 - 10/21	C	"29,013"	10/25 - 10/27	C	"30,316"	10/23 - 10/25	C	35	35	1.17	1.14	LOW	LOW	36	34	1.16	1.16	LOW	LOW
VB	DRAKESMILE RD	DAM NECK RD	SHIPPS CORNER RD		"21,165"	3/15	C	"19,705"	3/13	C				"22,835"	1/27 - 1/28	C	"20,159"	1/13 - 1/20	C	"23,185"	1/17 - 1/19	C	-	-	-	-	LOW		-	-	-	-	SEV	
VB	ELBOW RD	CHESAPEAKE CL	INDIAN RIVER RD		"6,887"	3/22	C	"7,453"	4/30	C	"6,919"	2/3	C	"7,780"	3/10 - 3/18	C	"8,230"	3/1 - 3/3	C	"8,773"	3/14 - 3/20	C	-	-	-	-	MOD		-	-	-	-	MOD	
VB	ELBOW RD	INDIAN RIVER RD	SALEM RD		"9,029"	3/22	C	"9,215"	3/5	C	"9,212"	2/3 - 2/5	C	"10,094"	3/9 - 3/11	C	"10,910"	3/15 - 3/17	C	"11,399"	3/7 - 3/13	C	-	-	-	-	SEV		-	-	-	-	SEV	
VB	FERRELL PKWY	INDIAN RIVER RD	INDIAN LAKES BLVD					"52,989"	1/29	C	"55,776"	6/24 - 6/25	C	"48,569"	11/9	C	"48,828"	11/29 - 12/1	C	"50,833"	12/4 - 12/6	C	-	-	-	-	SEV		-	-	-	-	SEV	
VB	FERRELL PKWY	INDIAN LAKES BLVD	PLEASANT VALLEY RD		"40,152"	8/7	C	"41,311"	9/17	C	"44,882"	6/24 - 6/25	C	"40,818"	11/2 - 11/3	C	"41,206"	11/8 - 11/10	C	"47,555"	12/4 - 12/6	C	-	-	-	-	MOD		-	-	-	-	SEV	
VB	FERRELL PKWY	PLEASANT VALLEY RD	PRINCESS ANNE RD		"41,535"	3/26	C	"41,845"	3/7	C	"40,225"	2/19 - 2/25	C	"42,724"	3/2 - 3/9	C	"40,360"	2/2 - 2/8	C	"45,091"	3/6 - 3/8	C	-	-	-	-	LOW		-	-	-	-	SEV	
VB	FIRST COLONIAL RD	VA BEACH BLVD	I-264								"31,279"	8/11 - 8/12	V							"31,690"	6/27 - 6/28	V	26	23	1.21	1.09	LOW	LOW	23	22	1.34	1.14	MOD	LOW
VB	FIRST COLONIAL RD	I-264	LASKIN RD		"43,269"	4/19	C	"41,813"	5/16	C				"38,328"	5/11 - 5/13	C	"38,930"	5/17 - 5/19	C	"40,238"	6/12 - 6/14	C	29	29	1.15	1.13	LOW	LOW	28	26	1.20	1.24	LOW	LOW
VB	FIRST COLONIAL RD	LASKIN RD	OLD DONATION PKWY					"45,473"	2/14	C	"37,853"	2/17 - 2/25	C	"42,652"	5/4 - 5/6	C	"41,809"	5/10 - 5/12	C	"39,721"	6/12 - 6/13	C	29	29	1.15	1.13	LOW	LOW	28	26	1.20	1.24	LOW	LOW
VB	FIRST COLONIAL RD	OLD DONATION PKWY	GREAT NECK RD		"18,726"	4/19	C	"17,881"	5/20	C	"16,978"	2/10 - 2/12	C	"18,781"	4/27 - 5/4	C	"18,380"	5/10 - 5/12	C	"19,308"	6/12 - 6/13	C	29	29	1.15	1.13	LOW	LOW	28	26	1.20	1.24	LOW	LOW
VB	GENERAL BOOTH BLVD	PRINCESS ANNE RD	NIMMO PKWY								"41,300"	7/14 - 7/15	V							"39,293"	6/19	V	33	34	1.16	1.19	LOW	LOW	32	32	1.22	1.24	LOW	LOW
VB	GENERAL BOOTH BLVD	NIMMO PKWY	LONDON BRIDGE RD		"41,118"	4/5	C	"41,122"	6/12	C				"39,874"	6/9 - 6/10	C	"39,126"	5/31	C	"34,463"	12/11 - 12/13	C	33	34	1.16	1.19	LOW	LOW	32	32	1.22	1.24	LOW	LOW
VB	GENERAL BOOTH BLVD	LONDON BRIDGE RD	DAM NECK RD		"29,916"	3/29	C	"29,216"	10/14	C	"30,817"	5/14 - 5/19	C	"30,597"	6/2 - 6/3	C	"32,409"	6/1 - 6/7	C	"26,436"	7/9	C	33	34	1.16	1.19	LOW	LOW	32	32	1.22	1.24	LOW	LOW
VB	GENERAL BOOTH BLVD	DAM NECK RD	OCEANA BLVD/PROSPERITY RD					"52,013"	9/17	C	"61,472"	7/14 - 7/15	C	"52,024"	3/17 - 3/18	C	"50,531"	11/30 - 12/1	C	"46,089"	11/27 - 11/29	C	36	32	1.12	1.18	LOW	LOW	36	31	1.12	1.23	LOW	LOW
VB	GENERAL BOOTH BLVD	OCEANA BLVD/PROSPERITY RD	BIRDNECK RD		"28,716"	5/24	C	"29,039"	6/16	C	"31,296"	7/14 - 7/15	C	"22,001"	10/26 - 10/28	C	"25,794"	6/1 - 6/2	C	"23,084"	11/20	C	45	41	1.15	1.19	LOW	LOW	45	41	1.16	1.19	LOW	LOW
VB	GENERAL BOOTH BLVD	BIRDNECK RD	HARBOUR POINT					"19,766"	5/22	C				"17,090"	1/1 - 8/19	V				"17,452"	8/7 - 8/16	C	41	40	1.12	1.08	LOW	LOW	41	40	1.12	1.08	LOW	LOW
VB	GREAT NECK RD	VA BEACH BLVD	OLD DONATION PKWY		"37,823"	4/13	C	"41,914"	5/1	C	"41,560"	6/23 - 6/24	C	"37,598"	5/4 - 5/6	C	"39,168"	5/11 - 5/17	C	"37,243"	5/29 - 5/31	C	38	37	1.16	1.22	LOW	LOW	37	33	1.19	1.36	LOW	MOD
VB	GREAT NECK RD	OLD DONATION PKWY	FIRST COLONIAL RD		"32,985"	4/17 - 4/18	C	"30,923"	9/16	C	"31,162"	3/10 - 3/18	C	"36,266"	4/29	C	"36,710"	5/24 - 5/26	C				38	37	1.16	1.22	LOW	LOW	37	33	1.19	1.36	LOW	MOD
VB	GREAT NECK RD	FIRST COLONIAL RD	SHOREHAVEN RD					"37,307"	2/21	C	"41,986"	6/24 - 6/25	C	"43,965"	5/18 - 5/20	C	"40,849"	5/10 - 5/12	C	"43,623"	6/12 - 6/13	C	39	39	1.18	1.18	LOW	LOW	40	40	1.15	1.17	LOW	LOW
VB	GREAT NECK RD	SHOREHAVEN RD	SHORE DR		"35,778"	10/30	C	"33,649"	9/24	C	"33,716"	3/10 - 3/12	C	"38,394"	5/25 - 5/27	C	"35,632"	5/26	C	"38,021"	6/5 - 6/7	C	39	39	1.18	1.18	LOW	LOW	40	40	1.15	1.17	LOW	LOW
VB	HARPERS RD	DAM NECK RD	OCEANA BLVD		"7,606"	11/2	C	"6,364"	1/29 - 1/31	C	"7,397"	7/14 - 7/15	C	"10,034"	12/21 - 12/22	C	"7,698"	11/30 - 12/1	C	"6,821"	11/27 - 11/29	C	-	-	-	-	LOW		-	-	-	-	MOD	
VB	HAYGOOD RD	NEWTOWN RD	WESLEYAN DR					"7,477"	1/9	C	"6,841"	6/30 - 7/2	C	"7,432"	1/12 - 1/13	C	"10,602"	10/25 - 10/27	C	"10,224"	10/23 - 10/25	C	-	-	-	-	LOW		-	-	-	-	LOW	
VB	HAYGOOD RD	WESLEYAN DR	INDEPENDENCE BLVD		"19,036"	5/16	C	"19,710"	10/15	C	"18,239"	8/4 - 8/5	C	"21,320"	9/23 - 9/28	C	"20,416"	9/7 - 9/13	C	"21,398"	10/16 - 10/18	C	-	-	-	-	LOW		-	-	-	-	LOW	
VB	HOLLAND RD	INDEPENDENCE BLVD	SOUTH PLAZA TRAIL					"42,625"	4/17	C	"41,663"	7/22 - 7/23	C	"39,495"	4/22 - 4/28	C	"40,213"	4/6 - 4/12	C	"39,923"	5/21	C	32	34	1.23	1.21	LOW	LOW	32	30	1.26	1.36	MOD	MOD
VB	HOLLAND RD	SOUTH PLAZA TRAIL	ROSEMONT RD					"38,715"	1/24	C	"36,509"	7/22 - 7/23	C	"36,531"	4/14 - 4/20	C	"36,293"	4/5 - 4/6	C	"38,005"	4/25 - 4/26	C	32	34	1.23	1.21	LOW	LOW	32	30	1.26	1.36	MOD	MOD
VB	HOLLAND RD	ROSEMONT RD	LYNNHAVEN PKWY					"31,169"	4/17	C	"30,120"	Wkdy average	C	"28,772"	Wkdy average	C				"29,379"	Wkdy average	C	32	34	1.23	1.21	LOW	LOW	32	32	1.24	1.29	LOW	MOD
VB	HOLLAND RD	LYNNHAVEN PKWY	DAM NECK RD		"29,611"	4/12	C	"31,588"	4/16	C	"29,327"	4/21 - 4/23	C	"26,103"	4/6 - 4/8	C	"30,669"	4/5 - 4/7	C	"27,941"	4/26	C	29	31	1.32	1.26	MOD	MOD	30	30	1.30	1.31	MOD	MOD
VB	HOLLAND RD	DAM NECK RD	NIMMO PKWY		"17,124"	10/18	C	"16,876"	8/1	C				"15,109"	4/21 - 4/27	C	"13,920"	4/6 - 4/12	C	"15,317"	5/3	C	36	35	1.16	1.17	LOW	LOW	37	38	1.13	1.10	LOW	LOW
VB	HOLLAND RD	NIMMO PKWY	PRINCESS ANNE RD		"12,781"	3/22	C	"12,535"	4/15	C	"11,811"	7/22 - 7/23	C	"11,953"	3/31 - 4/1	C	"11,711"	4/5 - 4/6	C	"12,139"	5/2 - 5/3	C	36	35	1.16	1.17	LOW	LOW	37	38	1.13	1.10	LOW	LOW
VB	I-64	NORFOLK CL	INDIAN RIVER RD	EB	"78,159"	Wkdy average	V	"77,164"	4/1 - 6/30	V				"75,197"	Wkdy average	V	"75,325"	Wkdy average	V	"74,977"	Wkdy average	V	61	-	0.98	-	LOW	-	49	-	1.23	-	MOD	-
				WB	"75,252"	Wkdy average	V	"72,895"	Wkdy average	V	"73,079"	Wkdy average	V	"74,323"	Wkdy average	V	"72,998"	Wkdy average	V	"73,113"	Wkdy average	V	-	49	-	1.27	-	MOD	-	50	-	1.24	-	MOD
VB	I-64	INDIAN RIVER RD	CITY LINE RD/CHESEAPEAKE CL	EB	"68,875"	Wkdy average	V			V											Wkdy average	V	62	-	0.99	-	LOW	-	61	-	1.00	-	LOW	-
				WB	"66,232"	Wkdy average	V	"63,269"	Wkdy average	V	"63,610"	Wkdy average	V	"63,757"	Wkdy average	V	"64,959"	Wkdy average	V	"65,444"	Wkdy average	V	-	57	-	1.08	-	LOW	-	61	-	1.01	-	LOW
VB	I-264	NEWTOWN RD/ECL NORFOLK	WITCHDUCK RD	EB							"103,792"	8/4 - 8/6	V										61	-	1.01	-	LOW	-	44	-	1.44	-	SEV	-
				WB							"110,000"												-	63	-	1.00	-	LOW	-	59	-	1.08	-	LOW
VB	I-264	WITCHDUCK RD	INDEPENDENCE BLVD	EB	"106,478"	Wkdy average	V	"101,614"	Wkdy average	V	"100,775"	Wkdy average	V	"100,522"	Wkdy average	V	"100,368"	Wkdy average	V	"98,972"	Wkdy average	V	62	-	1.00	-	LOW	-	59	-	1.07	-	LOW	-
				WB	"107,644"	Wkdy average	V	"103,283"	Wkdy average	V	"102,492"	Wkdy average	V	"101,964"	Wkdy average	V	"101,498"	Wkdy average	V	"100,609"	Wkdy average	V	-	59	-	1.06	-	LOW	-	59	-	1.06	-	LOW
VB	I-264	INDEPENDENCE BLVD	ROSEMONT RD	EB	"83,246"	Wkdy average	V																62	-	1.00	-	LOW	-	63	-	0.99	-	LOW	-
				WB							"82,786"	7/28 - 7/30	V										-	58	-	1.09	-	LOW	-	62	-	1.00	-	LOW
VB	I-264	ROSEMONT RD	LYNNHAVEN PKWY	EB	"75,184"	Wkdy average	V	"72,009"	Wkdy average	V	"72,331"	Wkdy average	V							"65,194"	Wkdy average	O	62	-	1.01	-	LOW	-	63	-	0.99	-	LOW	-
				WB	"75,542"	Wkdy average	V	"72,452"	Wkdy average	V	"71,942"	Wkdy average	V	"71,990"	Wkdy average	V	"70,899"	Wkdy average	V	"70,695"	Wkdy average	V	-	61	-	1.03	-	LOW	-	63	-	0.99	-	LOW
VB	I-264	LYNNHAVEN PKWY	LONDON BRIDGE RD	EB							"64,325"	7/28 - 7/30	V										61	-	1.03	-	LOW	-	63	-	0.99	-	LOW	-
				WB							"60,175"	7/28 - 7/30	V										-	62	-	0.99	-	LOW	-	62	-	0.99	-	LOW
VB	I-264	LONDON BRIDGE RD	LASKIN RD	EB							"64,325"	7/28 - 7/30	V										61	-	1.03	-	LOW	-	63	-	0.99	-	LOW	-
				WB							"60,175"	7/28 - 7/30	V										-	62	-	0.99	-	LOW	-	62	-	0.99	-	LOW
VB	I-264	LASKIN RD	FIRST COLONIAL RD	EB							"37,755"	7/28 - 7/30	V	"32,110"	Wkdy average	O	"29,460"	Wkdy average	O	"28,577"	Wkdy average	O	61	-	1.03	-	LOW	-	63	-	0.99	-	LOW	-
				WB							"43,184"	7/28 - 7/30	V	"38,257"	Wkdy average	O	"38,103"	Wkdy average	O	"36,991"	Wkdy average	O	-	63	-	0.99	-	LOW	-	63	-	0.99	-	LOW
VB	I-264	FIRST COLONIAL RD	S.E. PARKWAY CORRIDOR	EB							"30,823"	7/28 - 7/30	V										61	-	1.02	-	LOW	-	61	-	1.01	-	LOW	-
				WB							"32,239"	7/28 - 7/30	V										-	61	-	1.00	-	LOW	-	61	-	1.01	-	LOW
VB	I-264	S.E. PARKWAY CORRIDOR	BIRDNECK RD	EB							"30,823"	7/28 - 7/30	V										61	-	1.02	-	LOW	-	61	-	1.01	-	LOW	-
				WB							"32,239"	7/28 - 7/30	V										-	61	-	1.00	-	LOW	-	61	-	1.01	-	LOW
VB	I-264	BIRDNECK RD	PARKS AVE	EB							"16,182"	7/28 - 7/30	V										57	-	1.05	-	LOW	-	57	-	1.06	-	LOW	-
				WB							"14,427"	7/28 - 7/30	V										-	53	-	0.99	-	LOW	-	52	-	1.01	-	LOW
VB	INDEPENDENCE BLVD	INDIAN RIVER RD	SALEM RD		"7,300"	10/10	C	"7,623"	9/18	C	"6,208"	11/10	C	"7,254"	11/23	C	"6,659"	11/8 - 11/10	C	"6,497"	10/2 - 10/4	C	37	39	1.17	1.08	LOW	LOW	37	37	1.15	1.12	LOW	LOW
VB	INDEPENDENCE BLVD	SALEM RD	PRINCESS ANNE RD		"18,770"	10/11	C	"17,109"	1/30	C	"17,350"	11/17 - 11/19	C	"17,460"	11/18	C	"18,754"	11/29 - 12/1	C	"18,326"	11/6 - 11/8	C	32	38	1.38	1.16	MOD	LOW	33	38	1.33	1.18	MOD	LOW
VB	INDEPENDENCE BLVD	PRINCESS ANNE RD	LYNNHAVEN PKWY		"27,554"	3/27	C	"26,913"	9/30	C	"27,935"	4/28 - 4/30	C				"28,948"	4/7	C	"28,728"	8/28 - 8/30	C	32	28	1.09	1.23	LOW	LOW	28	26	1.24	1.32	LOW	MOD
VB	INDEPENDENCE BLVD	LYNNHAVEN PKWY	PLAZA TRAIL					"31,280"	1/29	C	"32,162"	11/19	C	"31,344"	11/10 - 11/16	C	"27,901"	11/29 - 12/1	C	"30,516"	11/6 - 11/8	C	39	38	1.10	1.16	LOW	LOW	38	38	1.12	1.16	LOW	LOW
VB	INDEPENDENCE BLVD	PLAZA TRAIL	HOLLAND RD		"36,644"	9/20	C	"37,484"	9/18	C	"35,052"	11/17 - 11/19	C	"38,534"	11/30	C	"37,435"	11/9 - 11/10	C	"37,184"	11/6 - 11/8	C	35	38	1.18	1.12	LOW	LOW	35	36	1.19	1.18	LOW	LOW
